variable,level,description
participant_id,participant,Synthetic release-only participant identifier
age,participant,Age in years
gender,participant,Self-reported gender category
ethnicity_group,participant,Grouped self-reported ethnicity category
education,participant,Self-reported education category
employment,participant,Self-reported employment category
prior_mental_health,participant,Whether a prior treated mental-health condition was reported
participant_white_status,participant,White/non-white analysis grouping
gender_binary,participant,Woman/man analysis grouping; missing for other responses
emotion_task_position,participant,Position of emotion-recognition task in the wider task battery
screening_data_available,participant,Any intake-screening response was available
intake_demographics_available,participant,Required intake demographic responses were available
emotion_task_attempted,participant,At least one linked emotion-recognition attempt was recorded
emotion_task_complete_event,participant,The task emitted a completion event
cape15_score,clinical total,Complete-item total for the named retained instrument
asrm_score,clinical total,Complete-item total for the named retained instrument
isi_score,clinical total,Complete-item total for the named retained instrument
ocir_score,clinical total,Complete-item total for the named retained instrument
minispin_score,clinical total,Complete-item total for the named retained instrument
asrs_score,clinical total,Complete-item total for the named retained instrument
gad7_score,clinical total,Complete-item total for the named retained instrument
hamd6_score,clinical total,Complete-item total for the named retained instrument
cape15_item_01,clinical item,Numeric response to the named retained instrument item
cape15_item_02,clinical item,Numeric response to the named retained instrument item
cape15_item_03,clinical item,Numeric response to the named retained instrument item
cape15_item_04,clinical item,Numeric response to the named retained instrument item
cape15_item_05,clinical item,Numeric response to the named retained instrument item
cape15_item_06,clinical item,Numeric response to the named retained instrument item
cape15_item_07,clinical item,Numeric response to the named retained instrument item
cape15_item_08,clinical item,Numeric response to the named retained instrument item
cape15_item_09,clinical item,Numeric response to the named retained instrument item
cape15_item_10,clinical item,Numeric response to the named retained instrument item
cape15_item_11,clinical item,Numeric response to the named retained instrument item
cape15_item_12,clinical item,Numeric response to the named retained instrument item
cape15_item_13,clinical item,Numeric response to the named retained instrument item
cape15_item_14,clinical item,Numeric response to the named retained instrument item
cape15_item_15,clinical item,Numeric response to the named retained instrument item
asrm_item_01,clinical item,Numeric response to the named retained instrument item
asrm_item_02,clinical item,Numeric response to the named retained instrument item
asrm_item_03,clinical item,Numeric response to the named retained instrument item
asrm_item_04,clinical item,Numeric response to the named retained instrument item
asrm_item_05,clinical item,Numeric response to the named retained instrument item
isi_item_01,clinical item,Numeric response to the named retained instrument item
isi_item_02,clinical item,Numeric response to the named retained instrument item
isi_item_03,clinical item,Numeric response to the named retained instrument item
isi_item_04,clinical item,Numeric response to the named retained instrument item
isi_item_05,clinical item,Numeric response to the named retained instrument item
isi_item_06,clinical item,Numeric response to the named retained instrument item
isi_item_07,clinical item,Numeric response to the named retained instrument item
ocir_item_01,clinical item,Numeric response to the named retained instrument item
ocir_item_02,clinical item,Numeric response to the named retained instrument item
ocir_item_03,clinical item,Numeric response to the named retained instrument item
ocir_item_04,clinical item,Numeric response to the named retained instrument item
ocir_item_05,clinical item,Numeric response to the named retained instrument item
ocir_item_06,clinical item,Numeric response to the named retained instrument item
ocir_item_07,clinical item,Numeric response to the named retained instrument item
ocir_item_08,clinical item,Numeric response to the named retained instrument item
ocir_item_09,clinical item,Numeric response to the named retained instrument item
ocir_item_10,clinical item,Numeric response to the named retained instrument item
ocir_item_11,clinical item,Numeric response to the named retained instrument item
ocir_item_12,clinical item,Numeric response to the named retained instrument item
ocir_item_13,clinical item,Numeric response to the named retained instrument item
ocir_item_14,clinical item,Numeric response to the named retained instrument item
ocir_item_15,clinical item,Numeric response to the named retained instrument item
ocir_item_16,clinical item,Numeric response to the named retained instrument item
ocir_item_17,clinical item,Numeric response to the named retained instrument item
ocir_item_18,clinical item,Numeric response to the named retained instrument item
minispin_item_01,clinical item,Numeric response to the named retained instrument item
minispin_item_02,clinical item,Numeric response to the named retained instrument item
minispin_item_03,clinical item,Numeric response to the named retained instrument item
asrs_item_01,clinical item,Numeric response to the named retained instrument item
asrs_item_02,clinical item,Numeric response to the named retained instrument item
asrs_item_03,clinical item,Numeric response to the named retained instrument item
asrs_item_04,clinical item,Numeric response to the named retained instrument item
asrs_item_05,clinical item,Numeric response to the named retained instrument item
asrs_item_06,clinical item,Numeric response to the named retained instrument item
asrs_item_07,clinical item,Numeric response to the named retained instrument item
asrs_item_08,clinical item,Numeric response to the named retained instrument item
asrs_item_09,clinical item,Numeric response to the named retained instrument item
asrs_item_10,clinical item,Numeric response to the named retained instrument item
asrs_item_11,clinical item,Numeric response to the named retained instrument item
asrs_item_12,clinical item,Numeric response to the named retained instrument item
