stimulus_id,source,face_age,face_gender,face_ethnicity,face_style,filename_emotion,stimulus_variant
S001,AI,middle,man,asian,dark,anger,a
S002,AI,middle,man,asian,dark,disgust,a
S003,AI,middle,man,asian,dark,fear,a
S004,AI,middle,man,asian,dark,happy,a
S005,AI,middle,man,asian,dark,neutral,a
S006,AI,middle,man,asian,dark,sad,a
S007,AI,middle,man,asian,dark,surprise,a
S008,AI,middle,man,black,dark,anger,a
S009,AI,middle,man,black,dark,disgust,a
S010,AI,middle,man,black,dark,fear,a
S011,AI,middle,man,black,dark,happy,a
S012,AI,middle,man,black,dark,neutral,a
S013,AI,middle,man,black,dark,sad,a
S014,AI,middle,man,black,dark,surprise,a
S015,AI,middle,man,indian,dark,anger,a
S016,AI,middle,man,indian,dark,disgust,a
S017,AI,middle,man,indian,dark,fear,a
S018,AI,middle,man,indian,dark,happy,a
S019,AI,middle,man,indian,dark,neutral,a
S020,AI,middle,man,indian,dark,sad,a
S021,AI,middle,man,indian,dark,surprise,a
S022,AI,middle,man,latin,dark,anger,a
S023,AI,middle,man,latin,dark,disgust,a
S024,AI,middle,man,latin,dark,fear,a
S025,AI,middle,man,latin,dark,happy,a
S026,AI,middle,man,latin,dark,neutral,a
S027,AI,middle,man,latin,dark,sad,a
S028,AI,middle,man,latin,dark,surprise,a
S029,AI,middle,man,white,blond,anger,a
S030,AI,middle,man,white,blond,disgust,a
S031,AI,middle,man,white,blond,fear,a
S032,AI,middle,man,white,blond,happy,a
S033,AI,middle,man,white,blond,neutral,a
S034,AI,middle,man,white,blond,sad,a
S035,AI,middle,man,white,blond,surprise,a
S036,AI,middle,man,white,dark,anger,a
S037,AI,middle,man,white,dark,disgust,a
S038,AI,middle,man,white,dark,fear,a
S039,AI,middle,man,white,dark,happy,a
S040,AI,middle,man,white,dark,neutral,a
S041,AI,middle,man,white,dark,sad,a
S042,AI,middle,man,white,dark,surprise,a
S043,AI,middle,woman,asian,dark,anger,a
S044,AI,middle,woman,asian,dark,disgust,a
S045,AI,middle,woman,asian,dark,fear,a
S046,AI,middle,woman,asian,dark,happy,a
S047,AI,middle,woman,asian,dark,neutral,a
S048,AI,middle,woman,asian,dark,sad,a
S049,AI,middle,woman,asian,dark,surprise,a
S050,AI,middle,woman,black,dark,anger,a
S051,AI,middle,woman,black,dark,disgust,a
S052,AI,middle,woman,black,dark,fear,a
S053,AI,middle,woman,black,dark,happy,a
S054,AI,middle,woman,black,dark,neutral,a
S055,AI,middle,woman,black,dark,sad,a
S056,AI,middle,woman,black,dark,surprise,a
S057,AI,middle,woman,indian,dark,anger,a
S058,AI,middle,woman,indian,dark,disgust,a
S059,AI,middle,woman,indian,dark,fear,a
S060,AI,middle,woman,indian,dark,happy,a
S061,AI,middle,woman,indian,dark,neutral,a
S062,AI,middle,woman,indian,dark,sad,a
S063,AI,middle,woman,indian,dark,surprise,a
S064,AI,middle,woman,latin,dark,anger,a
S065,AI,middle,woman,latin,dark,disgust,a
S066,AI,middle,woman,latin,dark,fear,a
S067,AI,middle,woman,latin,dark,happy,a
S068,AI,middle,woman,latin,dark,neutral,a
S069,AI,middle,woman,latin,dark,sad,a
S070,AI,middle,woman,latin,dark,surprise,a
S071,AI,middle,woman,white,blond,anger,a
S072,AI,middle,woman,white,blond,disgust,a
S073,AI,middle,woman,white,blond,fear,a
S074,AI,middle,woman,white,blond,happy,a
S075,AI,middle,woman,white,blond,neutral,a
S076,AI,middle,woman,white,blond,sad,a
S077,AI,middle,woman,white,blond,surprise,a
S078,AI,middle,woman,white,dark,anger,a
S079,AI,middle,woman,white,dark,disgust,a
S080,AI,middle,woman,white,dark,fear,a
S081,AI,middle,woman,white,dark,happy,a
S082,AI,middle,woman,white,dark,neutral,a
S083,AI,middle,woman,white,dark,sad,a
S084,AI,middle,woman,white,dark,surprise,a
S085,AI,old,man,black,dark,anger,a
S086,AI,old,man,black,dark,disgust,a
S087,AI,old,man,black,dark,fear,a
S088,AI,old,man,black,dark,happy,a
S089,AI,old,man,black,dark,neutral,a
S090,AI,old,man,black,dark,sad,a
S091,AI,old,man,black,dark,surprise,a
S092,AI,old,man,latin,dark,anger,a
S093,AI,old,man,latin,dark,disgust,a
S094,AI,old,man,latin,dark,fear,a
S095,AI,old,man,latin,dark,happy,a
S096,AI,old,man,latin,dark,neutral,a
S097,AI,old,man,latin,dark,sad,a
S098,AI,old,man,latin,dark,surprise,a
S099,AI,old,man,white,dark,anger,a
S100,AI,old,man,white,dark,disgust,a
S101,AI,old,man,white,dark,fear,a
S102,AI,old,man,white,dark,happy,a
S103,AI,old,man,white,dark,neutral,a
S104,AI,old,man,white,dark,sad,a
S105,AI,old,man,white,dark,surprise,a
S106,AI,old,woman,black,dark,anger,a
S107,AI,old,woman,black,dark,disgust,a
S108,AI,old,woman,black,dark,fear,a
S109,AI,old,woman,black,dark,happy,a
S110,AI,old,woman,black,dark,neutral,a
S111,AI,old,woman,black,dark,sad,a
S112,AI,old,woman,black,dark,surprise,a
S113,AI,old,woman,latin,dark,anger,a
S114,AI,old,woman,latin,dark,disgust,a
S115,AI,old,woman,latin,dark,fear,a
S116,AI,old,woman,latin,dark,happy,a
S117,AI,old,woman,latin,dark,neutral,a
S118,AI,old,woman,latin,dark,sad,a
S119,AI,old,woman,latin,dark,surprise,a
S120,AI,old,woman,white,dark,anger,a
S121,AI,old,woman,white,dark,disgust,a
S122,AI,old,woman,white,dark,fear,a
S123,AI,old,woman,white,dark,happy,a
S124,AI,old,woman,white,dark,neutral,a
S125,AI,old,woman,white,dark,sad,a
S126,AI,old,woman,white,dark,surprise,a
S127,AI,young,man,asian,dark,anger,a
S128,AI,young,man,asian,dark,disgust,a
S129,AI,young,man,asian,dark,fear,a
S130,AI,young,man,asian,dark,happy,a
S131,AI,young,man,asian,dark,neutral,a
S132,AI,young,man,asian,dark,sad,a
S133,AI,young,man,asian,dark,surprise,a
S134,AI,young,man,indian,dark,anger,a
S135,AI,young,man,indian,dark,disgust,a
S136,AI,young,man,indian,dark,fear,a
S137,AI,young,man,indian,dark,happy,a
S138,AI,young,man,indian,dark,neutral,a
S139,AI,young,man,indian,dark,sad,a
S140,AI,young,man,indian,dark,surprise,a
S141,AI,young,man,white,dark,anger,a
