participant_id,trial_number,row_in_file,source,trial_stratum,target_emotion,response_emotion,correct,rt_sec,stimulus_id,face_age,face_gender,face_ethnicity,face_style,stimulus_variant,common_emotion,valid_trial_number,valid_source,valid_target,valid_stimulus_metadata,duplicate_trial_number,trial_number_occurrence,accuracy_included,rt_in_bounds,rt_included,task_position,gender_binary,participant_ethnicity_group,participant_white_status,face_white_status,gender_congruence,white_status_congruence,exact_ethnicity_congruence
participant_0003,1,1,AI,AI-non-white,neutral,sad,FALSE,4.614,S026,middle,man,latin,dark,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,FALSE,Position 3,Woman,White,White,Non-white,Different gender,Incongruent,Different category
participant_0003,2,2,FACES,FACES,anger,anger,TRUE,2.3264,S162,middle,man,white,mixed,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,White,Different gender,Congruent,Exact match
participant_0003,3,3,FACES,FACES,anger,anger,TRUE,1.7342,S210,young,man,white,mixed,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,White,Different gender,Congruent,Exact match
participant_0003,4,4,AI,AI-white,disgust,disgust,TRUE,1.7352,S030,middle,man,white,blond,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,White,Different gender,Congruent,Exact match
participant_0003,5,5,FACES,FACES,happy,happy,TRUE,1.8615,S169,middle,man,white,mixed,b,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,White,Different gender,Congruent,Exact match
participant_0003,6,6,FACES,FACES,anger,neutral,FALSE,5.9434,S199,old,woman,white,mixed,b,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,FALSE,Position 3,Woman,White,White,White,Same gender,Congruent,Exact match
participant_0003,7,7,AI,AI-white,surprise,surprise,TRUE,5.6946,S077,middle,woman,white,blond,a,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,White,Same gender,Congruent,Exact match
participant_0003,8,8,AI,AI-non-white,neutral,neutral,TRUE,19.2434,S054,middle,woman,black,dark,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,Non-white,Same gender,Incongruent,Different category
participant_0003,9,9,FACES,FACES,sad,sad,TRUE,3.7634,S208,old,woman,white,mixed,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,White,Same gender,Congruent,Exact match
participant_0003,10,10,AI,AI-non-white,sad,sad,TRUE,1.7527,S062,middle,woman,indian,dark,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,Non-white,Same gender,Incongruent,Different category
participant_0003,11,11,FACES,FACES,anger,anger,TRUE,16.3566,S163,middle,man,white,mixed,b,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,White,Different gender,Congruent,Exact match
participant_0003,12,12,AI,AI-non-white,anger,anger,TRUE,1.9166,S001,middle,man,asian,dark,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,Non-white,Different gender,Incongruent,Different category
participant_0003,13,13,AI,AI-non-white,fear,fear,TRUE,3.4933,S087,old,man,black,dark,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,Non-white,Different gender,Incongruent,Different category
participant_0003,14,14,FACES,FACES,anger,anger,TRUE,4.8968,S174,middle,woman,white,mixed,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,White,Same gender,Congruent,Exact match
participant_0003,15,15,AI,AI-non-white,surprise,surprise,TRUE,1.5042,S154,young,woman,asian,dark,a,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,Non-white,Same gender,Incongruent,Different category
participant_0003,16,16,AI,AI-white,anger,anger,TRUE,2.3196,S099,old,man,white,dark,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,White,Different gender,Congruent,Exact match
participant_0003,17,17,FACES,FACES,disgust,disgust,TRUE,3.5363,S188,old,man,white,mixed,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,White,Different gender,Congruent,Exact match
participant_0003,18,18,FACES,FACES,anger,anger,TRUE,1.7868,S222,young,woman,white,mixed,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,White,Same gender,Congruent,Exact match
participant_0003,19,19,FACES,FACES,anger,anger,TRUE,1.5071,S175,middle,woman,white,mixed,b,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,White,Same gender,Congruent,Exact match
participant_0003,20,20,AI,AI-non-white,sad,sad,TRUE,1.6978,S139,young,man,indian,dark,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,Non-white,Different gender,Incongruent,Different category
participant_0003,21,21,FACES,FACES,sad,sad,TRUE,1.9246,S172,middle,man,white,mixed,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,White,Different gender,Congruent,Exact match
participant_0003,22,22,AI,AI-non-white,fear,fear,TRUE,3.1049,S136,young,man,indian,dark,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,Non-white,Different gender,Incongruent,Different category
participant_0003,23,23,AI,AI-non-white,sad,sad,TRUE,2.2127,S055,middle,woman,black,dark,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,Non-white,Same gender,Incongruent,Different category
participant_0003,24,24,AI,AI-non-white,anger,anger,TRUE,2.2654,S015,middle,man,indian,dark,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,Non-white,Different gender,Incongruent,Different category
participant_0003,25,25,AI,AI-non-white,disgust,disgust,TRUE,1.9406,S002,middle,man,asian,dark,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,Non-white,Different gender,Incongruent,Different category
participant_0003,26,26,AI,AI-non-white,sad,sad,TRUE,12.2976,S020,middle,man,indian,dark,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,Non-white,Different gender,Incongruent,Different category
participant_0003,27,27,AI,AI-non-white,disgust,disgust,TRUE,2.2005,S086,old,man,black,dark,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,Non-white,Different gender,Incongruent,Different category
participant_0003,28,28,AI,AI-non-white,anger,anger,TRUE,1.8028,S134,young,man,indian,dark,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,Non-white,Different gender,Incongruent,Different category
participant_0003,29,29,AI,AI-non-white,happy,happy,TRUE,2.3693,S095,old,man,latin,dark,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,Non-white,Different gender,Incongruent,Different category
participant_0003,30,30,FACES,FACES,sad,happy,FALSE,2.14,S197,old,man,white,mixed,b,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,FALSE,Position 3,Woman,White,White,White,Different gender,Congruent,Exact match
participant_0003,31,31,AI,AI-white,happy,happy,TRUE,1.384,S074,middle,woman,white,blond,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,White,Same gender,Congruent,Exact match
participant_0003,32,32,AI,AI-non-white,anger,anger,TRUE,4.299300000000001,S050,middle,woman,black,dark,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,Non-white,Same gender,Incongruent,Different category
participant_0003,33,33,AI,AI-non-white,happy,happy,TRUE,2.9707,S109,old,woman,black,dark,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,Non-white,Same gender,Incongruent,Different category
participant_0003,34,34,AI,AI-white,happy,happy,TRUE,1.5163,S032,middle,man,white,blond,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,White,Different gender,Congruent,Exact match
participant_0003,35,35,FACES,FACES,anger,neutral,FALSE,5.302899999999999,S198,old,woman,white,mixed,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,FALSE,Position 3,Woman,White,White,White,Same gender,Congruent,Exact match
participant_0003,36,36,FACES,FACES,neutral,neutral,TRUE,1.544,S171,middle,man,white,mixed,b,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,White,Different gender,Congruent,Exact match
participant_0003,37,37,AI,AI-white,disgust,disgust,TRUE,1.718,S072,middle,woman,white,blond,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,White,Same gender,Congruent,Exact match
participant_0003,38,38,AI,AI-non-white,anger,anger,TRUE,1.7363,S106,old,woman,black,dark,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,Non-white,Same gender,Incongruent,Different category
participant_0003,39,39,FACES,FACES,happy,happy,TRUE,3.0941,S181,middle,woman,white,mixed,b,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,White,Same gender,Congruent,Exact match
participant_0003,40,40,FACES,FACES,sad,sad,TRUE,1.9519,S233,young,woman,white,mixed,b,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,White,Same gender,Congruent,Exact match
participant_0003,41,41,AI,AI-non-white,disgust,disgust,TRUE,1.8662,S093,old,man,latin,dark,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,Non-white,Different gender,Incongruent,Different category
participant_0003,42,42,AI,AI-white,anger,anger,TRUE,2.3539,S071,middle,woman,white,blond,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,White,Same gender,Congruent,Exact match
participant_0003,43,43,AI,AI-non-white,fear,fear,TRUE,2.2913,S150,young,woman,asian,dark,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,Non-white,Same gender,Incongruent,Different category
participant_0003,44,44,FACES,FACES,anger,neutral,FALSE,3.6286,S186,old,man,white,mixed,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,FALSE,Position 3,Woman,White,White,White,Different gender,Congruent,Exact match
participant_0003,45,45,AI,AI-non-white,disgust,disgust,TRUE,1.7212,S058,middle,woman,indian,dark,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,Non-white,Same gender,Incongruent,Different category
participant_0003,46,46,AI,AI-non-white,surprise,surprise,TRUE,1.5077,S070,middle,woman,latin,dark,a,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,Non-white,Same gender,Incongruent,Different category
participant_0003,47,47,FACES,FACES,sad,neutral,FALSE,3.5650999999999997,S209,old,woman,white,mixed,b,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,FALSE,Position 3,Woman,White,White,White,Same gender,Congruent,Exact match
participant_0003,48,48,AI,AI-non-white,disgust,disgust,TRUE,1.7364000000000002,S016,middle,man,indian,dark,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,Non-white,Different gender,Incongruent,Different category
participant_0003,49,49,AI,AI-non-white,anger,anger,TRUE,1.5847,S092,old,man,latin,dark,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,Non-white,Different gender,Incongruent,Different category
participant_0003,50,50,FACES,FACES,sad,disgust,FALSE,5.083600000000001,S196,old,man,white,mixed,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,FALSE,Position 3,Woman,White,White,White,Different gender,Congruent,Exact match
participant_0003,51,51,FACES,FACES,anger,anger,TRUE,1.8605,S211,young,man,white,mixed,b,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,White,Different gender,Congruent,Exact match
participant_0003,52,52,FACES,FACES,neutral,neutral,TRUE,2.2870999999999997,S219,young,man,white,mixed,b,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,White,Different gender,Congruent,Exact match
participant_0003,53,53,AI,AI-non-white,surprise,surprise,TRUE,1.5780999999999998,S063,middle,woman,indian,dark,a,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,Non-white,Same gender,Incongruent,Different category
participant_0003,54,54,FACES,FACES,happy,happy,TRUE,1.7308,S193,old,man,white,mixed,b,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,White,Different gender,Congruent,Exact match
participant_0003,55,55,AI,AI-non-white,happy,happy,TRUE,1.2173,S158,young,woman,indian,dark,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,Non-white,Same gender,Incongruent,Different category
participant_0003,56,56,AI,AI-non-white,anger,anger,TRUE,2.0781,S113,old,woman,latin,dark,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,Non-white,Same gender,Incongruent,Different category
participant_0003,57,57,FACES,FACES,disgust,disgust,TRUE,1.7532,S177,middle,woman,white,mixed,b,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,White,Same gender,Congruent,Exact match
participant_0003,58,58,FACES,FACES,sad,fear,FALSE,6.0634,S185,middle,woman,white,mixed,b,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,FALSE,Position 3,Woman,White,White,White,Same gender,Congruent,Exact match
participant_0003,59,59,FACES,FACES,anger,neutral,FALSE,4.2344,S187,old,man,white,mixed,b,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,FALSE,Position 3,Woman,White,White,White,Different gender,Congruent,Exact match
participant_0003,60,60,AI,AI-white,disgust,disgust,TRUE,1.8557,S142,young,man,white,dark,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,White,Different gender,Congruent,Exact match
