clinical_score,clinical_label,stimulus_set,metric,performance_variable,method,estimate,conf_low,conf_high,p_value,n,fdr_family,p_fdr
altman_srms_score,Altman SRMS total,AI-diverse,Accuracy,accuracy_common_pct,pearson,-0.17388543132831707,-0.2502080200160392,-0.0869977118923358,2.3909594811556256e-8,1017,"FACES, AI-white, and AI-diverse correlations",9.563837924622502e-8
altman_srms_score,Altman SRMS total,AI-diverse,Accuracy,accuracy_common_pct,spearman,-0.09935548841614356,-0.16298306692304199,-0.028426947237417916,0.0015116072369361138,1017,"FACES, AI-white, and AI-diverse correlations",0.004030952631829636
altman_srms_score,Altman SRMS total,AI-diverse,Correct RT,correct_rt_common_mean_sec,pearson,0.02112447828372706,-0.03999845193993633,0.07564635353740491,0.5020579883631471,1012,"FACES, AI-white, and AI-diverse correlations",0.8115746969826358
altman_srms_score,Altman SRMS total,AI-diverse,Correct RT,correct_rt_common_mean_sec,spearman,0.001576044706903097,-0.06314435479562239,0.06388779849378758,0.9600625269547187,1012,"FACES, AI-white, and AI-diverse correlations",0.9600625269547187
altman_srms_score,Altman SRMS total,AI-white,Accuracy,accuracy_common_pct,pearson,-0.13303319193422855,-0.2030174077640393,-0.05622148152156201,2.3052994212017725e-5,1006,"FACES, AI-white, and AI-diverse correlations",5.650284826781649e-5
altman_srms_score,Altman SRMS total,AI-white,Accuracy,accuracy_common_pct,spearman,-0.059865165580136,-0.12211603687249416,0.008966238012885463,0.05768087295790999,1006,"FACES, AI-white, and AI-diverse correlations",0.11536174591581998
altman_srms_score,Altman SRMS total,AI-white,Correct RT,correct_rt_common_mean_sec,pearson,0.04633595196690595,-0.007504180903821017,0.106022468334005,0.1413408854336495,1009,"FACES, AI-white, and AI-diverse correlations",0.7248856757970336
altman_srms_score,Altman SRMS total,AI-white,Correct RT,correct_rt_common_mean_sec,spearman,0.02540338446815884,-0.03152782688228816,0.08353837899554735,0.42020695065054203,1009,"FACES, AI-white, and AI-diverse correlations",0.6723311210408673
altman_srms_score,Altman SRMS total,All-stimuli,Accuracy,accuracy_common_pct,pearson,-0.19727677806042196,-0.27360321552858435,-0.1257052880904301,2.2102821441247493e-10,1017,All-stimuli correlations,5.894085717665998e-10
altman_srms_score,Altman SRMS total,All-stimuli,Accuracy,accuracy_common_pct,spearman,-0.11905181917721601,-0.18178857459361253,-0.06251881611984333,1.415255035063111e-4,1017,All-stimuli correlations,3.7740134268349624e-4
altman_srms_score,Altman SRMS total,All-stimuli,Correct RT,correct_rt_common_mean_sec,pearson,0.008436068758692733,-0.05184010517370113,0.06864251994099885,0.7884635865655,1014,All-stimuli correlations,0.9802440177116072
