sample,variable,summary_type,level_or_statistic,value,denominator,percent
Full participant frame,age,numeric,n,1064,1277,
Full participant frame,age,numeric,missing,213,1277,
Full participant frame,age,numeric,mean,41.29323308270677,1277,
Full participant frame,age,numeric,sd,13.593151368889078,1277,
Full participant frame,age,numeric,median,40,1277,
Full participant frame,age,numeric,q25,31,1277,
Full participant frame,age,numeric,q75,51,1277,
Full participant frame,age,numeric,min,18,1277,
Full participant frame,age,numeric,max,80,1277,
Full participant frame,cape15_score,numeric,n,1081,1277,
Full participant frame,cape15_score,numeric,missing,196,1277,
Full participant frame,cape15_score,numeric,mean,22.354301572617945,1277,
Full participant frame,cape15_score,numeric,sd,7.660704354141487,1277,
Full participant frame,cape15_score,numeric,median,20,1277,
Full participant frame,cape15_score,numeric,q25,17,1277,
Full participant frame,cape15_score,numeric,q75,25,1277,
Full participant frame,cape15_score,numeric,min,15,1277,
Full participant frame,cape15_score,numeric,max,55,1277,
Full participant frame,altman_srms_score,numeric,n,1082,1277,
Full participant frame,altman_srms_score,numeric,missing,195,1277,
Full participant frame,altman_srms_score,numeric,mean,4.128465804066543,1277,
Full participant frame,altman_srms_score,numeric,sd,3.49747407904793,1277,
Full participant frame,altman_srms_score,numeric,median,4,1277,
Full participant frame,altman_srms_score,numeric,q25,1,1277,
Full participant frame,altman_srms_score,numeric,q75,6,1277,
Full participant frame,altman_srms_score,numeric,min,0,1277,
Full participant frame,altman_srms_score,numeric,max,19,1277,
Full participant frame,isi_score,numeric,n,1081,1277,
Full participant frame,isi_score,numeric,missing,196,1277,
Full participant frame,isi_score,numeric,mean,9.974098057354302,1277,
Full participant frame,isi_score,numeric,sd,6.474685373852219,1277,
Full participant frame,isi_score,numeric,median,9,1277,
Full participant frame,isi_score,numeric,q25,5,1277,
Full participant frame,isi_score,numeric,q75,14,1277,
Full participant frame,isi_score,numeric,min,0,1277,
Full participant frame,isi_score,numeric,max,28,1277,
Full participant frame,ocir_score,numeric,n,1080,1277,
Full participant frame,ocir_score,numeric,missing,197,1277,
Full participant frame,ocir_score,numeric,mean,17.737037037037037,1277,
Full participant frame,ocir_score,numeric,sd,14.628970663936023,1277,
Full participant frame,ocir_score,numeric,median,14,1277,
Full participant frame,ocir_score,numeric,q25,5,1277,
Full participant frame,ocir_score,numeric,q75,27,1277,
Full participant frame,ocir_score,numeric,min,0,1277,
Full participant frame,ocir_score,numeric,max,69,1277,
Full participant frame,minispin_score,numeric,n,1080,1277,
Full participant frame,minispin_score,numeric,missing,197,1277,
Full participant frame,minispin_score,numeric,mean,5.258333333333334,1277,
Full participant frame,minispin_score,numeric,sd,3.7196625804899215,1277,
Full participant frame,minispin_score,numeric,median,5,1277,
Full participant frame,minispin_score,numeric,q25,2,1277,
Full participant frame,minispin_score,numeric,q75,8,1277,
Full participant frame,minispin_score,numeric,min,0,1277,
Full participant frame,minispin_score,numeric,max,12,1277,
Full participant frame,asrs_score,numeric,n,1081,1277,
Full participant frame,asrs_score,numeric,missing,196,1277,
Full participant frame,asrs_score,numeric,mean,27.320074005550417,1277,
Full participant frame,asrs_score,numeric,sd,15.958779494606757,1277,
