clinical_score,clinical_label,metric,comparison,method,difference,conf_low,conf_high,p_value,n,p_fdr
altman_srms_score,Altman SRMS total,Accuracy,AI-diverse minus AI-white,pearson,-0.036860173661752954,-0.07952990171315924,0.0038766366902863213,0.08383233532934131,1006,0.9293413173652695
altman_srms_score,Altman SRMS total,Accuracy,AI-diverse minus AI-white,spearman,-0.03591254171621592,-0.08356015599027584,0.00847205523652627,0.1157684630738523,1006,0.4630738522954092
altman_srms_score,Altman SRMS total,Accuracy,AI-diverse minus FACES,pearson,-0.007198793232797124,-0.05888832833534065,0.049974360676848316,0.7704590818363274,1017,0.9660678642714571
altman_srms_score,Altman SRMS total,Accuracy,AI-diverse minus FACES,spearman,0.007573580866958307,-0.05476008331688175,0.07247006615874194,0.8702594810379242,1017,0.9080968497787034
altman_srms_score,Altman SRMS total,Accuracy,AI-white minus FACES,pearson,0.028017431703543233,-0.031875579504551416,0.0994211201791372,0.37524950099800397,1006,0.9293413173652695
altman_srms_score,Altman SRMS total,Accuracy,AI-white minus FACES,spearman,0.04498321751267347,-0.02462244560996849,0.12115616428840024,0.21157684630738524,1006,0.6826347305389221
altman_srms_score,Altman SRMS total,Correct RT,AI-diverse minus AI-white,pearson,-0.02746569432574417,-0.06035983239951011,0.004990054366242669,0.0998003992015968,1008,0.7984031936127745
altman_srms_score,Altman SRMS total,Correct RT,AI-diverse minus AI-white,spearman,-0.0234178589122259,-0.05763592994147383,0.008640778150647663,0.16367265469061876,1008,0.9900199600798403
altman_srms_score,Altman SRMS total,Correct RT,AI-diverse minus FACES,pearson,0.026818232882113036,-0.020813277566333194,0.06836530876028821,0.27944111776447106,1012,0.9620758483033932
altman_srms_score,Altman SRMS total,Correct RT,AI-diverse minus FACES,spearman,0.029023766190781806,-0.01785651780720253,0.06969248302078043,0.25948103792415167,1012,0.9900199600798403
altman_srms_score,Altman SRMS total,Correct RT,AI-white minus FACES,pearson,0.052290464558343804,-0.0016075106940755264,0.10832468659302256,0.06387225548902195,1009,0.7664670658682634
altman_srms_score,Altman SRMS total,Correct RT,AI-white minus FACES,spearman,0.052196506948039234,8.68364692330784e-4,0.10341828492881622,0.04790419161676647,1009,0.9900199600798403
asrs_score,ASRS total,Accuracy,AI-diverse minus AI-white,pearson,-0.005310767459915877,-0.048312198710206505,0.03477663586720857,0.8343313373253493,1005,0.9660678642714571
asrs_score,ASRS total,Accuracy,AI-diverse minus AI-white,spearman,0.010477158113955873,-0.04584218864162465,0.061012272600819595,0.7385229540918163,1005,0.8666303756124115
asrs_score,ASRS total,Accuracy,AI-diverse minus FACES,pearson,0.02694167667203827,-0.02630693685195848,0.08065840798628893,0.3393213572854291,1016,0.9293413173652695
asrs_score,ASRS total,Accuracy,AI-diverse minus FACES,spearman,0.0495513050667882,-0.009168231834193272,0.1152256590363546,0.11177644710578842,1016,0.4630738522954092
asrs_score,ASRS total,Accuracy,AI-white minus FACES,pearson,0.03235552223158683,-0.02684399533679017,0.09337464016418534,0.2954091816367265,1005,0.9293413173652695
asrs_score,ASRS total,Accuracy,AI-white minus FACES,spearman,0.04051875561033251,-0.02851363853929971,0.11291414824366884,0.2275449101796407,1005,0.6826347305389221
asrs_score,ASRS total,Correct RT,AI-diverse minus AI-white,pearson,0.016081925893235163,-0.019055869900764206,0.045948292621748696,0.4550898203592814,1007,0.9620758483033932
asrs_score,ASRS total,Correct RT,AI-diverse minus AI-white,spearman,0.016327547012254945,-0.0161025381478606,0.04758923352397272,0.3712574850299401,1007,0.9900199600798403
asrs_score,ASRS total,Correct RT,AI-diverse minus FACES,pearson,-0.010738673491985602,-0.049329599710094894,0.029134766719131296,0.6307385229540918,1011,0.9620758483033932
asrs_score,ASRS total,Correct RT,AI-diverse minus FACES,spearman,-0.020575160110239833,-0.06002020048953044,0.0228346467467906,0.35129740518962077,1011,0.9900199600798403
asrs_score,ASRS total,Correct RT,AI-white minus FACES,pearson,-0.027300126547124742,-0.07970190755321391,0.021809633576021746,0.32335329341317365,1008,0.9620758483033932
asrs_score,ASRS total,Correct RT,AI-white minus FACES,spearman,-0.037534112245629477,-0.08888878984887723,0.010588534393510273,0.14770459081836326,1008,0.9900199600798403
cape15_score,CAPE-15 total,Accuracy,AI-diverse minus AI-white,pearson,-0.03408269929548374,-0.07121015765729011,0.007344034957874243,0.15169660678642716,1005,0.9293413173652695
cape15_score,CAPE-15 total,Accuracy,AI-diverse minus AI-white,spearman,-0.013516064343034692,-0.06048315418551317,0.03524589887048351,0.6187624750499002,1005,0.8666303756124115
cape15_score,CAPE-15 total,Accuracy,AI-diverse minus FACES,pearson,-0.0016552614323653292,-0.05816346723469462,0.05247805742687045,0.9660678642714571,1016,0.9660678642714571
cape15_score,CAPE-15 total,Accuracy,AI-diverse minus FACES,spearman,0.06081017318875759,0.0018293252902604198,0.12550093908062648,0.04790419161676647,1016,0.4630738522954092
cape15_score,CAPE-15 total,Accuracy,AI-white minus FACES,pearson,0.032341729233429484,-0.03562102851161306,0.09566303961165323,0.3313373253493014,1005,0.9293413173652695
cape15_score,CAPE-15 total,Accuracy,AI-white minus FACES,spearman,0.07658011300345376,0.009717845693405454,0.14699939169787712,0.043912175648702596,1005,0.4630738522954092
cape15_score,CAPE-15 total,Correct RT,AI-diverse minus AI-white,pearson,2.792487860480992e-4,-0.03281804427992459,0.03530214989421247,0.9540918163672655,1007,0.9620758483033932
cape15_score,CAPE-15 total,Correct RT,AI-diverse minus AI-white,spearman,-9.90691591899722e-4,-0.03194912924966767,0.0325703499659354,1,1007,1
cape15_score,CAPE-15 total,Correct RT,AI-diverse minus FACES,pearson,-0.0028275245895050885,-0.04409139692386778,0.04568046516312457,0.8822355289421158,1011,0.9620758483033932
cape15_score,CAPE-15 total,Correct RT,AI-diverse minus FACES,spearman,0.015161843848757356,-0.026090266762438453,0.053723938600395836,0.5588822355289421,1011,0.99140848737308
cape15_score,CAPE-15 total,Correct RT,AI-white minus FACES,pearson,-0.006212716221764924,-0.062415468263703935,0.0440362873047392,0.810379241516966,1008,0.9620758483033932
cape15_score,CAPE-15 total,Correct RT,AI-white minus FACES,spearman,0.01907992944833161,-0.029321639983840832,0.06925002505602662,0.46706586826347307,1008,0.99140848737308
gad7_score,GAD-7 total,Accuracy,AI-diverse minus AI-white,pearson,-0.02478151643692586,-0.0929518132538466,0.04435983290454916,0.5109780439121756,436,0.9580838323353293
gad7_score,GAD-7 total,Accuracy,AI-diverse minus AI-white,spearman,-0.010117332657023286,-0.08306177639829046,0.06304340140532602,0.7624750499001997,436,0.8666303756124115
gad7_score,GAD-7 total,Accuracy,AI-diverse minus FACES,pearson,0.011973880980554517,-0.07674379145034442,0.09938734092902904,0.7944111776447106,443,0.9660678642714571
gad7_score,GAD-7 total,Accuracy,AI-diverse minus FACES,spearman,0.03688972923489176,-0.06757043266690821,0.13900355661519126,0.4750499001996008,443,0.8666303756124115
gad7_score,GAD-7 total,Accuracy,AI-white minus FACES,pearson,0.036254535868135554,-0.053847951624039506,0.12909678621739173,0.46706586826347307,437,0.9580838323353293
gad7_score,GAD-7 total,Accuracy,AI-white minus FACES,spearman,0.0471522899046028,-0.06280917012879315,0.1507850448924262,0.42714570858283435,437,0.8666303756124115
gad7_score,GAD-7 total,Correct RT,AI-diverse minus AI-white,pearson,-0.009903902660623624,-0.07209058493767449,0.05382945833853865,0.7744510978043913,442,0.9620758483033932
gad7_score,GAD-7 total,Correct RT,AI-diverse minus AI-white,spearman,0.030029554097943265,-0.02919797332492651,0.08721755734050504,0.33532934131736525,442,0.9900199600798403
gad7_score,GAD-7 total,Correct RT,AI-diverse minus FACES,pearson,-0.006211130642589692,-0.07078756664843222,0.052322434933551515,0.8343313373253493,442,0.9620758483033932
