source,trial_stratum,face_ethnicity,face_gender,n_participants,n_trials,accuracy_pct,correct_rt_mean_sec
AI,AI-non-white,asian,man,1009,3118,91.56510583707504,2.53731355156635
AI,AI-non-white,asian,woman,1005,3193,83.24459755715627,2.75332441332324
AI,AI-non-white,black,man,1007,3159,84.48876226654004,2.659830737396539
AI,AI-non-white,black,woman,1017,3113,82.20366206231931,2.6752289690317523
AI,AI-non-white,indian,man,1008,3090,89.51456310679612,2.626193108451215
AI,AI-non-white,indian,woman,1014,3114,86.31984585741812,2.613788340807175
AI,AI-non-white,latin,man,1010,3003,85.28138528138528,2.6884835225048924
AI,AI-non-white,latin,woman,1011,3149,84.56652905684344,2.7025276499434177
AI,AI-white,white,man,1041,6244,88.38885329916721,2.603297630763623
AI,AI-white,white,woman,1036,4563,86.01797063335525,2.608038762464843
FACES,FACES,white,man,1045,20777,79.83346970207441,2.8554521051675046
FACES,FACES,white,woman,1046,20715,72.49818971759593,3.036696550800348
