source,target_emotion,response_emotion,n_trials,percent_within_target
AI,anger,anger,5421,89.41118258287976
AI,anger,disgust,425,7.009731156193304
AI,anger,fear,37,0.6102589477156523
AI,anger,happy,11,0.1814283358073561
AI,anger,neutral,60,0.9896091044037605
AI,anger,sad,109,1.797789873000165
AI,disgust,anger,1192,20.449476754160234
AI,disgust,disgust,4238,72.70543832561331
AI,disgust,fear,51,0.8749356664951106
AI,disgust,happy,12,0.2058672156459084
AI,disgust,neutral,18,0.3088008234688626
AI,disgust,sad,318,5.455481214616572
AI,fear,anger,35,0.718096019696348
AI,fear,disgust,192,3.9392695937628233
AI,fear,fear,4442,91.13664341403364
AI,fear,happy,11,0.22568732047599507
AI,fear,neutral,11,0.22568732047599507
AI,fear,sad,183,3.7546163315551913
AI,happy,anger,3,0.0511770726714432
AI,happy,disgust,10,0.17059024223814398
AI,happy,fear,18,0.3070624360286591
AI,happy,happy,5776,98.53292391675195
AI,happy,neutral,44,0.7505970658478335
AI,happy,sad,11,0.18764926646195837
AI,neutral,anger,24,0.4037685060565276
AI,neutral,disgust,36,0.6056527590847914
AI,neutral,fear,33,0.5551816958277255
AI,neutral,happy,31,0.5215343203230148
AI,neutral,neutral,5175,87.06258411843876
AI,neutral,sad,645,10.851278600269179
AI,sad,anger,23,0.3801024624029086
AI,sad,disgust,57,0.9419930589985127
AI,sad,fear,64,1.057676417121137
AI,sad,happy,9,0.1487357461576599
AI,sad,neutral,87,1.4377788795240456
AI,sad,sad,5811,96.03371343579573
FACES,anger,anger,5155,76.55182655182655
FACES,anger,disgust,908,13.483813483813483
FACES,anger,fear,72,1.0692010692010692
FACES,anger,happy,6,0.0891000891000891
FACES,anger,neutral,272,4.039204039204039
FACES,anger,sad,321,4.766854766854767
FACES,disgust,anger,576,8.442034295764326
FACES,disgust,disgust,5841,85.60750403048513
FACES,disgust,fear,83,1.2164736919243735
FACES,disgust,happy,16,0.23450095266012017
FACES,disgust,neutral,40,0.5862523816503005
FACES,disgust,sad,267,3.913234647515756
FACES,fear,anger,162,4.361873990306947
FACES,fear,disgust,250,6.731287022078622
FACES,fear,fear,3187,85.81044695745827
FACES,fear,happy,34,0.9154550350026925
FACES,fear,neutral,45,1.2116316639741518
FACES,fear,sad,36,0.9693053311793215
FACES,happy,anger,10,0.1434926101305783
FACES,happy,disgust,9,0.12914334911752046
FACES,happy,fear,13,0.18654039316975177
FACES,happy,happy,6867,98.5363753766681
FACES,happy,neutral,55,0.7892093557181805
FACES,happy,sad,15,0.2152389151958674
FACES,neutral,anger,394,5.720092915214867
FACES,neutral,disgust,106,1.5389082462253194
FACES,neutral,fear,38,0.5516840882694541
FACES,neutral,happy,85,1.2340301974448316
FACES,neutral,neutral,6136,89.08246225319397
FACES,neutral,sad,129,1.8728222996515678
FACES,sad,anger,96,1.432408236347359
FACES,sad,disgust,1019,15.20441659206207
FACES,sad,fear,694,10.355117875261117
FACES,sad,happy,265,3.954043569083856
FACES,sad,neutral,209,3.1184720978812295
FACES,sad,sad,4419,65.93554162936437
