contrast_family,trial_stratum,participant_group,estimate,conf_low,conf_high,p_value,model_type,p_fdr
Same minus different stimulus gender,FACES,Woman,-0.0685602847579857,-0.12645202986537232,-0.011067234266483428,0.01899050474762619,accuracy,0.08545727136431785
Same minus different stimulus gender,FACES,Man,0.08907421725351272,0.021295594772475793,0.15675278502688506,0.008995502248875561,accuracy,0.08095952023988005
Same minus different stimulus gender,FACES,Woman/man equally pooled,0.01025696624776351,0.001456165262071921,0.019268051006748128,0.028985507246376812,accuracy,0.08695652173913043
Participant man minus woman,FACES,Stimulus genders equally pooled,-0.0420699119898823,-0.05657857115571582,-0.02770723516324725,9.995002498750624e-4,accuracy,0.0014992503748125937
Same minus different stimulus gender,AI-white,Woman,-0.030135665133248835,-0.0874185124461178,0.022495578770995443,0.22988505747126436,accuracy,0.3448275862068966
Same minus different stimulus gender,AI-white,Man,0.030850975018004934,-0.03233080672345143,0.0990840452010145,0.32283858070964516,accuracy,0.41507817519811524
Same minus different stimulus gender,AI-white,Woman/man equally pooled,3.576549423780495e-4,-0.012063198495492098,0.013851515939223472,0.9945027486256871,accuracy,0.9945027486256871
Participant man minus woman,AI-white,Stimulus genders equally pooled,-0.026781636790498053,-0.043788393853498246,-0.012742425441722055,9.995002498750624e-4,accuracy,0.0014992503748125937
Same minus different stimulus gender,AI-non-white,Woman,-0.037060861993429395,-0.07711413049703704,-4.054456932022605e-4,0.050974512743628186,accuracy,0.11334332833583208
Same minus different stimulus gender,AI-non-white,Man,0.04090755741282248,-0.0024305198911401676,0.08318857949520073,0.06296851574212893,accuracy,0.11334332833583208
Same minus different stimulus gender,AI-non-white,Woman/man equally pooled,0.001923347709696488,-0.006380036683847057,0.00989833388546876,0.6626686656671664,accuracy,0.7455022488755623
Participant man minus woman,AI-non-white,Stimulus genders equally pooled,-0.018071419529267718,-0.02937407160491636,-0.006737649801785647,0.0029985007496251873,accuracy,0.0029985007496251873
Same minus different stimulus gender,FACES,Woman,0.17541499132057226,0.04075177554262098,0.3088437216095968,0.009995002498750625,rt,0.08995502248875563
Same minus different stimulus gender,FACES,Man,-0.16297714720885415,-0.3046531963423894,-0.02810680914738462,0.022988505747126436,rt,0.10344827586206896
Same minus different stimulus gender,FACES,Woman/man equally pooled,0.006218922055858833,-0.02097772450843285,0.032921488515688366,0.6746626686656672,rt,0.7589955022488756
Participant man minus woman,FACES,Stimulus genders equally pooled,2.9649021092037486e-5,-0.08471171881782215,0.08410996390673647,0.9995002498750625,rt,0.9995002498750625
Same minus different stimulus gender,AI-white,Woman,0.0633831903530786,-0.08978939808172387,0.2241885662001622,0.4027986006996502,rt,0.6041979010494752
Same minus different stimulus gender,AI-white,Man,-0.0040451515112827074,-0.16747943960766648,0.1488124931243986,0.9395302348825587,rt,0.9395302348825587
Same minus different stimulus gender,AI-white,Woman/man equally pooled,0.029669019420897946,-0.01110065286542109,0.07090236931408435,0.1539230384807596,rt,0.46176911544227883
Participant man minus woman,AI-white,Stimulus genders equally pooled,-0.010696288633587958,-0.08815138631136675,0.06979810718969537,0.7726136931534233,rt,0.9995002498750625
Same minus different stimulus gender,AI-non-white,Woman,0.05991323802782311,-0.04529038647166007,0.16354075807814977,0.2898550724637681,rt,0.545127436281859
Same minus different stimulus gender,AI-non-white,Man,-0.031027695686088652,-0.14054676167427307,0.07685894637390461,0.6106946526736632,rt,0.7589955022488756
Same minus different stimulus gender,AI-non-white,Woman/man equally pooled,0.014442771170867008,-0.012055786825170311,0.042088368907702504,0.3028485757121439,rt,0.545127436281859
Participant man minus woman,AI-non-white,Stimulus genders equally pooled,0.03235729878065863,-0.04378860501615819,0.10701310140071403,0.36281859070464767,rt,0.9995002498750625
