model_type,trial_stratum,participant_gender,stimulus_gender,congruence,estimate,conf_low,conf_high
accuracy,FACES,Woman,Woman,Same gender,0.7999759273856613,0.7436463109339105,0.8446937100985765
accuracy,FACES,Woman,Man,Different gender,0.868536212143647,0.8291790206862579,0.9011363951874355
accuracy,FACES,Man,Woman,Different gender,0.7476490491480156,0.6839350217972668,0.8006667492869008
accuracy,FACES,Man,Man,Same gender,0.8367232664015283,0.7919895092463295,0.8751343952276638
accuracy,AI-white,Woman,Woman,Same gender,0.8959022333849453,0.8454731293377085,0.9331562354608879
accuracy,AI-white,Woman,Man,Different gender,0.9260378985181942,0.888627674979955,0.9504702867019202
accuracy,AI-white,Man,Woman,Different gender,0.8687629416520692,0.8097260284107752,0.9133865320138489
accuracy,AI-white,Man,Man,Same gender,0.8996139166700742,0.8549122970547416,0.9313949799661181
accuracy,AI-non-white,Woman,Woman,Same gender,0.8765913444252846,0.8417026315339802,0.9055690711392695
accuracy,AI-non-white,Woman,Man,Different gender,0.913652206418714,0.8869756439417249,0.9339366355955532
accuracy,AI-non-white,Man,Woman,Different gender,0.8565965771863204,0.8189787692187982,0.8890905527282738
accuracy,AI-non-white,Man,Man,Same gender,0.8975041345991429,0.8666381899815092,0.9215749472073463
rt,FACES,Woman,Woman,Same gender,2.7197382947709774,2.6071817782409723,2.8310613002086127
rt,FACES,Woman,Man,Different gender,2.544323303450405,2.441007496852176,2.6525008868810906
rt,FACES,Man,Woman,Different gender,2.71354902173621,2.597278757075264,2.826594357875267
rt,FACES,Man,Man,Same gender,2.550571874527356,2.4420396993844933,2.661640085887226
rt,AI-white,Woman,Woman,Same gender,2.302127849580977,2.1758066303239354,2.4358389567473497
rt,AI-white,Woman,Man,Different gender,2.2387446592278986,2.124397963061152,2.3541044217210314
rt,AI-white,Man,Woman,Different gender,2.2617625415264913,2.132513871293398,2.3965826356609283
rt,AI-white,Man,Man,Same gender,2.2577173900152085,2.1407529527106184,2.3774929123038024
rt,AI-non-white,Woman,Woman,Same gender,2.304977628697848,2.212688392252127,2.395360767468735
rt,AI-non-white,Woman,Man,Different gender,2.245064390670025,2.15621937849464,2.339808623114311
rt,AI-non-white,Man,Woman,Different gender,2.3228921563076397,2.2286758843147547,2.4141328844783123
rt,AI-non-white,Man,Man,Same gender,2.291864460621551,2.2010972315000856,2.3908618307404064
