clinical_score,metric,n,term,estimate,std.error,statistic,p.value,conf.low,conf.high,p_fdr
cape15_score,accuracy_common_pct,959,faces_z,-0.11073433867156182,0.03669826635024686,-3.017426970928749,0.002617056181977581,-0.18275308494595294,-0.03871559239717072,0.010468224727910324
cape15_score,accuracy_common_pct,959,ai_diverse_z,-0.18106634941006775,0.036331547051770975,-4.983722525001634,7.405918067307053e-7,-0.2523654250640869,-0.1097672737560486,1.1849468907691285e-5
cape15_score,correct_rt_common_mean_sec,959,faces_z,0.015668229297790524,0.04868186885111015,0.32184937981141665,0.7476373848124218,-0.07986781394441846,0.1112042725399995,0.8997214605842195
cape15_score,correct_rt_common_mean_sec,959,ai_diverse_z,0.048408833500987944,0.04890499825474523,0.9898545185264547,0.3224964825444,-0.047565091458939904,0.1443827584609158,0.8261163832331285
altman_srms_score,accuracy_common_pct,960,faces_z,-0.07599081101195043,0.03776549471000915,-2.0121757068314072,0.044482105203875875,-0.15010384758312958,-0.0018777744407712793,0.10167338332314485
altman_srms_score,accuracy_common_pct,960,ai_diverse_z,-0.12007901880987329,0.037390458853302194,-3.2114882377076883,0.0013646732407228681,-0.19345606485909433,-0.046701972760652244,0.007278257283855297
altman_srms_score,correct_rt_common_mean_sec,960,faces_z,-0.053237058890405184,0.04907146181516501,-1.08488838361756,0.2782451713286198,-0.14953753296163877,0.0430634151808284,0.8261163832331285
altman_srms_score,correct_rt_common_mean_sec,960,ai_diverse_z,0.09145562464328141,0.049302476722943835,1.854990473545943,0.0639059291841398,-0.005298205499153358,0.18820945478571618,0.5112474334731184
isi_score,accuracy_common_pct,959,faces_z,-0.020628204771056355,0.03913131679380531,-0.5271533508507412,0.5982097885450146,-0.09742170636754055,0.05616529682542784,0.7362582012861719
isi_score,accuracy_common_pct,959,ai_diverse_z,-0.07007175800350193,0.03875212145744364,-1.808204438057734,0.07088981396327972,-0.14612110529969233,0.005977589292688462,0.12602633593471949
isi_score,correct_rt_common_mean_sec,959,faces_z,-0.032701470939275785,0.05036681186873293,-0.6492662474746875,0.5163227395207053,-0.13154414132607098,0.06614119944751942,0.8261163832331285
isi_score,correct_rt_common_mean_sec,959,ai_diverse_z,-0.009050459551783548,0.05060427236372022,-0.17884773615028016,0.8580952752224955,-0.10835913579769656,0.09025821669412946,0.8997214605842195
ocir_score,accuracy_common_pct,958,faces_z,-0.09177846183495128,0.03722583779365605,-2.4654505385125804,0.013859567806472364,-0.16483264162563127,-0.01872428204427129,0.036958847483926305
ocir_score,accuracy_common_pct,958,ai_diverse_z,-0.15110712579805954,0.0368576396485627,-4.099750478838709,4.4889535309005805e-5,-0.22343873183125038,-0.07877551976486871,3.5911628247204644e-4
ocir_score,correct_rt_common_mean_sec,958,faces_z,-0.0598046005078508,0.04879279734430066,-1.2256850142418898,0.22062035429103635,-0.15555846397867407,0.03594926296297246,0.8261163832331285
ocir_score,correct_rt_common_mean_sec,958,ai_diverse_z,0.12353008768719838,0.04903243018279472,2.519354786753861,0.01191977203646766,0.02730595459976816,0.21975422077462858,0.19071635258348257
minispin_score,accuracy_common_pct,958,faces_z,-0.003868524544670027,0.03795452700442435,-0.10192524713110175,0.9188374734809759,-0.07835272702308839,0.07061567793374833,0.9188374734809759
minispin_score,accuracy_common_pct,958,ai_diverse_z,-0.06580541560688023,0.03762075132265737,-1.7491786658510577,0.08058238362069613,-0.1396345970001931,0.008023765786432616,0.1289318137931138
minispin_score,correct_rt_common_mean_sec,958,faces_z,0.01981953995475442,0.048710186390062506,0.4068869660247873,0.6841824701131252,-0.07577220290680153,0.11541128281631036,0.8997214605842195
minispin_score,correct_rt_common_mean_sec,958,ai_diverse_z,0.006169810331320775,0.048948551808783665,0.12604684108782196,0.8997214605842195,-0.08988971488752315,0.1022293355501647,0.8997214605842195
asrs_score,accuracy_common_pct,959,faces_z,-0.06731663588085367,0.037079783916787824,-1.8154538341410384,0.06976838002352787,-0.14008409373092803,0.005450821969220698,0.12602633593471949
asrs_score,accuracy_common_pct,959,ai_diverse_z,-0.09902227143857593,0.03672046860908598,-2.6966505382252723,0.007127622923488363,-0.17108458867707727,-0.026959954200074618,0.022808393355162764
asrs_score,correct_rt_common_mean_sec,959,faces_z,0.04151536385626365,0.04811154539061091,0.8628981571721759,0.3884105603518313,-0.05290144448247552,0.1359321721950028,0.8261163832331285
asrs_score,correct_rt_common_mean_sec,959,ai_diverse_z,0.006639507393591804,0.04833837315594243,0.1373547962024366,0.89077937278617,-0.0882224405363065,0.1015014553234901,0.8997214605842195
gad7_score,accuracy_common_pct,424,faces_z,-0.011745144309780216,0.05980287628233754,-0.19639764907510113,0.8443943842276321,-0.12929699481629764,0.10580670619673721,0.9179019924911566
gad7_score,accuracy_common_pct,424,ai_diverse_z,-0.010327847260315232,0.0587463962906883,-0.1758039286224654,0.8605331179604593,-0.12580302209900765,0.10514732757837719,0.9179019924911566
gad7_score,correct_rt_common_mean_sec,424,faces_z,0.06980894252750643,0.07648891103713461,0.9126674910251353,0.3619435258402225,-0.08054190336147506,0.22015978841648792,0.8261163832331285
gad7_score,correct_rt_common_mean_sec,424,ai_diverse_z,-0.052562525941094757,0.07609096332654385,-0.6907853921565303,0.49008383010887635,-0.2021311437385055,0.09700609185631598,0.8261163832331285
hamd6_score,accuracy_common_pct,378,faces_z,-0.05796652853650567,0.06374449551316239,-0.9093573973698852,0.363750285546416,-0.18331125058034095,0.06737819350732963,0.4850003807285546
hamd6_score,accuracy_common_pct,378,ai_diverse_z,0.07368253601366087,0.06248445374720533,1.1792138939352796,0.23906664743324674,-0.04918448840866138,0.19654956043598312,0.3477333053574498
hamd6_score,correct_rt_common_mean_sec,378,faces_z,0.030442036134834267,0.08298000849135921,0.3668598821366019,0.7139321242891448,-0.13272665813143103,0.19361073040109955,0.8997214605842195
hamd6_score,correct_rt_common_mean_sec,378,ai_diverse_z,-0.058990731728292986,0.08231983967577733,-0.716604064835795,0.47406808050935223,-0.22086129544971722,0.10287983199313126,0.8261163832331285
