contrast,estimate,conf_low,conf_high,p_value,model_type,p_fdr
AI-white minus FACES,0.08341585590400602,0.04087724726126585,0.12424822381917523,9.995002498750624e-4,accuracy,0.002498750624687656
AI-diverse minus FACES,0.07397208996666771,0.03907305375688481,0.11083292186316071,9.995002498750624e-4,accuracy,0.002498750624687656
AI-diverse minus AI-white,-0.009443765937338311,-0.031951475262083744,0.014223496667936993,0.4577711144427786,accuracy,0.4577711144427786
AI-non-white minus AI-white,-0.013536102377645132,-0.04579724266083022,0.02038706892385717,0.4577711144427786,accuracy,0.4577711144427786
Equal-standardised minus observed AI-diverse,-0.00138511596477775,-0.004686318866580411,0.002086158471148813,0.4577711144427786,accuracy,0.4577711144427786
AI-white minus FACES,-0.3692804663064462,-0.47301335852449955,-0.2658216403018891,9.995002498750624e-4,rt,0.002498750624687656
AI-diverse minus FACES,-0.347960629158683,-0.4296353225382063,-0.2669501189220018,9.995002498750624e-4,rt,0.002498750624687656
AI-diverse minus AI-white,0.0213198371477632,-0.042019620999647844,0.08681708077772769,0.5367316341829086,rt,0.5367316341829086
AI-non-white minus AI-white,0.03071291902459361,-0.0605326020204484,0.12506690146822905,0.5367316341829086,rt,0.5367316341829086
Equal-standardised minus observed AI-diverse,0.0032504980719121335,-0.006406460616710607,0.01323644039685572,0.5367316341829086,rt,0.5367316341829086
