stimulus_set,estimate,conf_low,conf_high,model_type,observed_ai_white_weight
FACES,0.8172147786234231,0.7812014262231096,0.8477290081458413,accuracy,0.3023275331505623
AI-white,0.9006306345274291,0.8695790892889905,0.9250996980646693,accuracy,0.3023275331505623
AI-non-white,0.887094532149784,0.8642848812110535,0.9063753332956227,accuracy,0.3023275331505623
AI-diverse,0.8911868685900908,0.8709313743955954,0.9068564921013335,accuracy,0.3023275331505623
AI-diverse equal-ethnicity,0.889801752625313,0.8685099015921953,0.906013106538208,accuracy,0.3023275331505623
FACES,2.637250910495472,2.56124410419714,2.718400837712146,rt,0.305834879104429
AI-white,2.2679704441890256,2.1827819545517593,2.3544239877913906,rt,0.305834879104429
AI-non-white,2.298683363213619,2.2340578687138772,2.36695787424234,rt,0.305834879104429
AI-diverse,2.289290281336789,2.231342735902189,2.34885156173278,rt,0.305834879104429
AI-diverse equal-ethnicity,2.292540779408701,2.2338287615255146,2.3522400386944207,rt,0.305834879104429
