model,participant_n,trial_n,effect,term,estimate,std.error,statistic,p.value,conf.low,conf.high,p_method,p_fdr
gender_moderation_accuracy_model,978,72464,fixed,gender_binaryMan,-0.34538140434804104,0.05926890570544782,-5.827362598265326,5.631017752147214e-9,-0.4615463249338193,-0.2292164837622628,model-reported Wald test,3.378610651288328e-8
gender_moderation_accuracy_model,978,72464,fixed,trial_stratumAI-white:gender_binaryMan,0.0596858915201238,0.10622178652429815,0.5618987730588649,0.574184989689104,-0.14850498444100257,0.26787676748125017,model-reported Wald test,0.574184989689104
gender_moderation_accuracy_model,978,72464,fixed,trial_stratumAI-non-white:gender_binaryMan,0.15498228561359617,0.06894575407961565,2.247887309124637,0.02458337661597458,0.019851090730594045,0.2901134804965983,model-reported Wald test,0.07375012984792374
gender_moderation_accuracy_model,978,72464,fixed,gender_binaryMan:face_genderman,0.06400375563730756,0.05983421796733821,1.069684836062291,0.28476119418272844,-0.05326915662179471,0.18127666789640984,model-reported Wald test,0.547656077992632
gender_moderation_accuracy_model,978,72464,fixed,trial_stratumAI-white:gender_binaryMan:face_genderman,-0.1352900077787262,0.14937910672595495,-0.9056822653714482,0.365104051995088,-0.42806767700436277,0.15748766144691037,model-reported Wald test,0.547656077992632
gender_moderation_accuracy_model,978,72464,fixed,trial_stratumAI-non-white:gender_binaryMan:face_genderman,-0.07667762739059375,0.10434305857201137,-0.7348608373184251,0.46242425133898196,-0.28118626422848936,0.12783100944730186,model-reported Wald test,0.5549091016067783
gender_moderation_rt_model,978,58396,fixed,gender_binaryMan,-0.0022782802938151525,0.017373568719026036,-0.1311348480361537,0.8956686344350395,-0.036329849266037856,0.03177328867840755,large-sample normal approximation,0.8956686344350395
gender_moderation_rt_model,978,58396,fixed,trial_stratumAI-white:gender_binaryMan,-0.015411171981070608,0.016378210610768964,-0.9409557824917387,0.3467275193744098,-0.04751187490938953,0.016689530947248316,large-sample normal approximation,0.7740954964981915
gender_moderation_rt_model,978,58396,fixed,trial_stratumAI-non-white:gender_binaryMan,0.010020337838302812,0.011597594585946181,0.8640013896024035,0.3875871271906777,-0.012710529857448418,0.03275120553405404,large-sample normal approximation,0.7740954964981915
gender_moderation_rt_model,978,58396,fixed,gender_binaryMan:face_genderman,0.004731156748227735,0.01027153803101459,0.4606084048895262,0.6450795804151597,-0.015400687858394319,0.02486300135484979,large-sample normal approximation,0.7740954964981915
gender_moderation_rt_model,978,58396,fixed,trial_stratumAI-white:gender_binaryMan:face_genderman,0.021397305209215543,0.021629967699228033,0.9892435119068257,0.32254401426176044,-0.02099665246803609,0.06379126288646718,large-sample normal approximation,0.7740954964981915
gender_moderation_rt_model,978,58396,fixed,trial_stratumAI-non-white:gender_binaryMan:face_genderman,0.008158244360881492,0.016143318242059997,0.505363534222221,0.6133035261614841,-0.02348207798452455,0.039798566706287536,large-sample normal approximation,0.7740954964981915
white_status_moderation_accuracy_model,999,74064,fixed,participant_white_statusNon-white,-0.08986126120816255,0.05676837324910059,-1.5829458563811545,0.11343380563722713,-0.20112522823732676,0.021402705821001636,model-reported Wald test,0.34030141691168136
white_status_moderation_accuracy_model,999,74064,fixed,trial_stratumAI-white:participant_white_statusNon-white,-0.04145054069619912,0.077998189812996,-0.5314295215770849,0.5951211685229463,-0.19432418358899017,0.11142310219659195,model-reported Wald test,0.5951211685229463
white_status_moderation_accuracy_model,999,74064,fixed,trial_stratumAI-non-white:participant_white_statusNon-white,0.06582154708541332,0.05449258884057545,1.2078990645495313,0.22708608946102674,-0.040981964466463794,0.17262505863729044,model-reported Wald test,0.3406291341915401
white_status_moderation_rt_model,999,59674,fixed,participant_white_statusNon-white,0.008969967288048799,0.017416261266801087,0.5150340334608651,0.6065292379430334,-0.02516527754022126,0.04310521211631886,large-sample normal approximation,0.9097938569145501
white_status_moderation_rt_model,999,59674,fixed,trial_stratumAI-white:participant_white_statusNon-white,-1.1490457381952356e-4,0.011396270045459279,-0.010082647511964325,0.9919553475213518,-0.02245118342101235,0.022221374273373305,large-sample normal approximation,0.9919553475213518
white_status_moderation_rt_model,999,59674,fixed,trial_stratumAI-non-white:participant_white_statusNon-white,0.005433104332100866,0.008569090201098832,0.6340351431245488,0.5260578874714814,-0.011362003842327929,0.02222821250652966,large-sample normal approximation,0.9097938569145501
