model,participant_n,trial_n,effect,term,estimate,std.error,statistic,conf.low,conf.high,p.value,p_method
primary_rt_mixed_model,1046,62167,fixed,(Intercept),1.0244491041476973,0.02554408693898566,40.10513691856302,0.9743836137293255,1.0745145945660692,0,large-sample normal approximation
primary_rt_mixed_model,1046,62167,fixed,trial_stratumAI-white,-0.1508516987060938,0.022147020710204815,-6.811376603652381,-0.19425906166295792,-0.10744433574922968,9.666919598248693e-12,large-sample normal approximation
primary_rt_mixed_model,1046,62167,fixed,trial_stratumAI-non-white,-0.1374005445780862,0.017731693880247108,-7.748867395638312,-0.1721540259682598,-0.1026470631879126,9.271577548188089e-15,large-sample normal approximation
primary_rt_mixed_model,1046,62167,fixed,target_emotiondisgust,0.05038641578953216,0.02730043342467253,1.8456269541858583,-0.003121450485159473,0.1038942820642238,0.06494639000288885,large-sample normal approximation
primary_rt_mixed_model,1046,62167,fixed,target_emotionfear,0.19809389382337356,0.02735446199443843,7.241739715577261,0.14448013349780456,0.2517076541489426,4.4296536526115567e-13,large-sample normal approximation
primary_rt_mixed_model,1046,62167,fixed,target_emotionhappy,-0.3218610862016707,0.027162632083422397,-11.849407127157809,-0.37509886681049076,-0.26862330559285064,2.1671862016743554e-32,large-sample normal approximation
primary_rt_mixed_model,1046,62167,fixed,target_emotionneutral,-0.1596788684733471,0.027207382782423538,-5.868953649466885,-0.2130043588404924,-0.10635337810620182,4.3855400666870025e-9,large-sample normal approximation
primary_rt_mixed_model,1046,62167,fixed,target_emotionsad,-0.06991882395962985,0.027223710014867675,-2.568306227235197,-0.12327631511433286,-0.016561332804926845,0.0102196830910196,large-sample normal approximation
primary_rt_mixed_model,1046,62167,fixed,trial_position_z,-0.08150283644924294,0.001774737492097473,-45.923882721899815,-0.08498125801576693,-0.07802441488271895,0,large-sample normal approximation
primary_rt_mixed_model,1046,62167,fixed,task_positionPosition 2,-0.008818989662719906,0.0188080137329746,-0.46889532238368536,-0.04568201920008485,0.028044039874645037,0.6391444599670002,large-sample normal approximation
primary_rt_mixed_model,1046,62167,fixed,task_positionPosition 3,-0.04484241628082985,0.0194927084724189,-2.3004712938830116,-0.08304742284790965,-0.006637409713750042,0.02142153379135734,large-sample normal approximation
primary_rt_mixed_model,1046,62167,fixed,task_positionPosition 4,-0.06710948635308173,0.048803579357232854,-1.3750935328299003,-0.16276274420990056,0.02854377150373709,0.16910244909556685,large-sample normal approximation
