model,participant_n,trial_n,effect,term,estimate,std.error,statistic,p.value,conf.low,conf.high,p_method
sensitivity_complete_task_accuracy_model,1029,76406,fixed,(Intercept),1.6904379395758682,0.20766706739621643,8.14013488402864,3.9483777538560525e-16,1.283417966704232,2.0974579124475046,model-reported Wald test
sensitivity_complete_task_accuracy_model,1029,76406,fixed,trial_stratumAI-white,0.7757152166230897,0.20709547657949143,3.745688845721068,1.7989945771485364e-4,0.36981554116612836,1.181614892080051,model-reported Wald test
sensitivity_complete_task_accuracy_model,1029,76406,fixed,trial_stratumAI-non-white,0.630298858407851,0.16500850262596356,3.8197962430856913,1.3356196048016966e-4,0.30688813611807964,0.9537095806976225,model-reported Wald test
sensitivity_complete_task_accuracy_model,1029,76406,fixed,target_emotiondisgust,-0.6042180646115982,0.25022350219837,-2.4147134833585358,0.015747591626650084,-1.0946471170058822,-0.11378901221731413,model-reported Wald test
sensitivity_complete_task_accuracy_model,1029,76406,fixed,target_emotionfear,-1.3758048830611946,0.2498179620933392,-5.507229630458495,3.645246408474296e-8,-1.8654390914553318,-0.8861706746670575,model-reported Wald test
sensitivity_complete_task_accuracy_model,1029,76406,fixed,target_emotionhappy,2.3575459695970857,0.26281864380756986,8.970238699364227,2.95872541079153e-19,1.842430893268588,2.8726610459255832,model-reported Wald test
sensitivity_complete_task_accuracy_model,1029,76406,fixed,target_emotionneutral,0.28004847705819835,0.25160416773651945,1.113051820951813,0.26568617397380334,-0.21308663006555428,0.773183584181951,model-reported Wald test
sensitivity_complete_task_accuracy_model,1029,76406,fixed,target_emotionsad,0.43092776614862927,0.25291642722854024,1.7038346258119268,0.0884119871192326,-0.06477932231785499,0.9266348546151135,model-reported Wald test
sensitivity_complete_task_accuracy_model,1029,76406,fixed,trial_position_z,0.04935545727844277,0.01111242667998584,4.44146528024657,8.934836494602209e-6,0.02757550120482852,0.07113541335205702,model-reported Wald test
sensitivity_complete_task_accuracy_model,1029,76406,fixed,task_positionPosition 2,-0.0520587080264893,0.06072599385774051,-0.8572722275809007,0.39129445341290314,-0.17107946891306122,0.06696205286008261,model-reported Wald test
sensitivity_complete_task_accuracy_model,1029,76406,fixed,task_positionPosition 3,0.007036971714930548,0.063155103800163,0.11142364261164253,0.9112804127005506,-0.11674475717327759,0.1308187006031387,model-reported Wald test
sensitivity_complete_task_accuracy_model,1029,76406,fixed,task_positionPosition 4,-0.23983920721380841,0.1595869250450234,-1.5028750453468784,0.13287126919936149,-0.5526238327055473,0.0729454182779305,model-reported Wald test
