model,participant_n,trial_n,effect,term,estimate,std.error,statistic,conf.low,conf.high,p.value,p_method
sensitivity_rt_all_positive_model,1046,62468,fixed,(Intercept),1.0362967008899553,0.02651660734509791,39.08104409448647,0.9843251055013731,1.0882682962785375,0,large-sample normal approximation
sensitivity_rt_all_positive_model,1046,62468,fixed,trial_stratumAI-white,-0.15023521474876542,0.02262000550621462,-6.641696648017605,-0.19456961087104377,-0.10590081862648706,3.1009267192819544e-11,large-sample normal approximation
sensitivity_rt_all_positive_model,1046,62468,fixed,trial_stratumAI-non-white,-0.1393829179758435,0.018102025161823597,-7.69985218393112,-0.1748622353402556,-0.10390360061143142,1.3622371935985785e-14,large-sample normal approximation
sensitivity_rt_all_positive_model,1046,62468,fixed,target_emotiondisgust,0.0526519889506816,0.027889024400738135,1.8879107491937963,-0.002009494438723898,0.10731347234008709,0.059037933236383185,large-sample normal approximation
sensitivity_rt_all_positive_model,1046,62468,fixed,target_emotionfear,0.2034970742491109,0.027954576471868827,7.279562058609384,0.14870711116117724,0.25828703733704456,3.3490558231460907e-13,large-sample normal approximation
sensitivity_rt_all_positive_model,1046,62468,fixed,target_emotionhappy,-0.32018609081771116,0.02772697369858948,-11.547819617760867,-0.3745299606672359,-0.26584222096818644,7.571700127641168e-31,large-sample normal approximation
sensitivity_rt_all_positive_model,1046,62468,fixed,target_emotionneutral,-0.1596229530652911,0.027780626512761482,-5.745837049138028,-0.21407198049826215,-0.10517392563232004,9.146736131764228e-9,large-sample normal approximation
sensitivity_rt_all_positive_model,1046,62468,fixed,target_emotionsad,-0.06483290316149448,0.027799247305820472,-2.332181963355536,-0.11931842667822473,-0.010347379644764239,0.019691120617616246,large-sample normal approximation
sensitivity_rt_all_positive_model,1046,62468,fixed,trial_position_z,-0.08030147690062855,0.001961642832812768,-40.935829681841504,-0.0841462262034727,-0.07645672759778441,0,large-sample normal approximation
sensitivity_rt_all_positive_model,1046,62468,fixed,task_positionPosition 2,-0.007777664698360061,0.02045806573443952,-0.3801759559930919,-0.04787473673121448,0.03231940733449436,0.7038148060200091,large-sample normal approximation
sensitivity_rt_all_positive_model,1046,62468,fixed,task_positionPosition 3,-0.04540143173185053,0.02120493392022729,-2.1410786707777625,-0.08696233851004775,-0.003840524953653314,0.03226769440161509,large-sample normal approximation
sensitivity_rt_all_positive_model,1046,62468,fixed,task_positionPosition 4,-0.07319399212537982,0.053106947611026696,-1.378237602007885,-0.17728169677184757,0.03089371252108794,0.16812994126223552,large-sample normal approximation
