specification,contrast,estimate,conf_low,conf_high,p_value,model_type,p_fdr
"Primary: all valid, common emotions",AI-white minus FACES,0.08341585590400602,0.04087724726126585,0.12424822381917523,9.995002498750624e-4,accuracy,0.002498750624687656
"Primary: all valid, common emotions",AI-diverse minus FACES,0.07397208996666771,0.03907305375688481,0.11083292186316071,9.995002498750624e-4,accuracy,0.002498750624687656
"Primary: all valid, common emotions",AI-diverse minus AI-white,-0.009443765937338311,-0.031951475262083744,0.014223496667936993,0.4577711144427786,accuracy,0.4577711144427786
"Primary: all valid, common emotions",AI-non-white minus AI-white,-0.013536102377645132,-0.04579724266083022,0.02038706892385717,0.4577711144427786,accuracy,0.4577711144427786
"Primary: all valid, common emotions",Equal-standardised minus observed AI-diverse,-0.00138511596477775,-0.004686318866580411,0.002086158471148813,0.4577711144427786,accuracy,0.4577711144427786
Complete 80-trial participants,AI-white minus FACES,0.0830096567251698,0.039934285043161474,0.12493243967005652,9.995002498750624e-4,accuracy,0.002498750624687656
Complete 80-trial participants,AI-diverse minus FACES,0.07415287146368432,0.03841189353313236,0.11124839346903988,9.995002498750624e-4,accuracy,0.002498750624687656
Complete 80-trial participants,AI-diverse minus AI-white,-0.008856785261485478,-0.031226678133042553,0.01525554496057086,0.4567716141929036,accuracy,0.4567716141929036
Complete 80-trial participants,AI-non-white minus AI-white,-0.012697573228491077,-0.04476827884729866,0.021871186165000892,0.4567716141929036,accuracy,0.4567716141929036
Complete 80-trial participants,Equal-standardised minus observed AI-diverse,-0.0013012733213073613,-0.00458794494479631,0.0022414039714299004,0.4567716141929036,accuracy,0.4567716141929036
Exclude high-ceiling happy trials,AI-white minus FACES,0.11161108237428419,0.054177873107722284,0.16670753456675746,9.995002498750624e-4,accuracy,0.002498750624687656
Exclude high-ceiling happy trials,AI-diverse minus FACES,0.10274725790128691,0.05449907880586268,0.15227985706123598,9.995002498750624e-4,accuracy,0.002498750624687656
Exclude high-ceiling happy trials,AI-diverse minus AI-white,-0.008863824472997273,-0.03697152116376312,0.023763189018340326,0.5807096451774113,accuracy,0.5807096451774113
Exclude high-ceiling happy trials,AI-non-white minus AI-white,-0.01271682775818872,-0.053042619247492234,0.03409277594024009,0.5807096451774113,accuracy,0.5807096451774113
Exclude high-ceiling happy trials,Equal-standardised minus observed AI-diverse,-0.0013096377335536369,-0.005462574234230691,0.003511031733851813,0.5807096451774113,accuracy,0.5807096451774113
Primary: correct RT 0.20-30 sec,AI-white minus FACES,-0.3692804663064462,-0.47301335852449955,-0.2658216403018891,9.995002498750624e-4,rt,0.002498750624687656
Primary: correct RT 0.20-30 sec,AI-diverse minus FACES,-0.347960629158683,-0.4296353225382063,-0.2669501189220018,9.995002498750624e-4,rt,0.002498750624687656
Primary: correct RT 0.20-30 sec,AI-diverse minus AI-white,0.0213198371477632,-0.042019620999647844,0.08681708077772769,0.5367316341829086,rt,0.5367316341829086
Primary: correct RT 0.20-30 sec,AI-non-white minus AI-white,0.03071291902459361,-0.0605326020204484,0.12506690146822905,0.5367316341829086,rt,0.5367316341829086
Primary: correct RT 0.20-30 sec,Equal-standardised minus observed AI-diverse,0.0032504980719121335,-0.006406460616710607,0.01323644039685572,0.5367316341829086,rt,0.5367316341829086
Complete 80-trial participants,AI-white minus FACES,-0.37039599698440595,-0.4752613664624067,-0.2627476368916613,9.995002498750624e-4,rt,0.002498750624687656
Complete 80-trial participants,AI-diverse minus FACES,-0.34807574458391466,-0.4334350287371487,-0.2633530301775319,9.995002498750624e-4,rt,0.002498750624687656
Complete 80-trial participants,AI-diverse minus AI-white,0.02232025240049129,-0.04322681295015129,0.09113760037640477,0.544727636181909,rt,0.544727636181909
Complete 80-trial participants,AI-non-white minus AI-white,0.03215828410485555,-0.06227976757860547,0.1313080512241297,0.544727636181909,rt,0.544727636181909
Complete 80-trial participants,Equal-standardised minus observed AI-diverse,0.0034063748833932372,-0.0065970011127330025,0.013908840602898877,0.544727636181909,rt,0.544727636181909
Correct RT 0.30-10 sec,AI-white minus FACES,-0.3370925755647889,-0.42236086382004856,-0.24528607493773125,9.995002498750624e-4,rt,0.002498750624687656
Correct RT 0.30-10 sec,AI-diverse minus FACES,-0.32232616157881866,-0.3896450857125977,-0.25377035244814256,9.995002498750624e-4,rt,0.002498750624687656
Correct RT 0.30-10 sec,AI-diverse minus AI-white,0.014766413985970228,-0.04306043826192279,0.07064374442350083,0.63968015992004,rt,0.63968015992004
Correct RT 0.30-10 sec,AI-non-white minus AI-white,0.021284863917062413,-0.062068933559962056,0.10182854740999213,0.63968015992004,rt,0.63968015992004
Correct RT 0.30-10 sec,Equal-standardised minus observed AI-diverse,0.00226147714767988,-0.00659470858604676,0.010819093504493152,0.63968015992004,rt,0.63968015992004
All positive correct RT,AI-white minus FACES,-0.3732509956457446,-0.48666884315913117,-0.2666476190601911,9.995002498750624e-4,rt,0.002498750624687656
All positive correct RT,AI-diverse minus FACES,-0.3558153068283372,-0.44206394549190964,-0.269004879830682,9.995002498750624e-4,rt,0.002498750624687656
All positive correct RT,AI-diverse minus AI-white,0.017435688817407424,-0.048593913496643895,0.08473071436247842,0.6156921539230384,rt,0.6156921539230384
All positive correct RT,AI-non-white minus AI-white,0.0251233794281549,-0.07001979327918799,0.12208992190901402,0.6156921539230384,rt,0.6156921539230384
All positive correct RT,Equal-standardised minus observed AI-diverse,0.0026630147251163194,-0.007421921126706332,0.012941223164733047,0.6156921539230384,rt,0.6156921539230384
