specification,stimulus_set,estimate,conf_low,conf_high,model_type,observed_ai_white_weight
"Primary: all valid, common emotions",FACES,0.8172147786234231,0.7812014262231096,0.8477290081458413,accuracy,0.3023275331505623
"Primary: all valid, common emotions",AI-white,0.9006306345274291,0.8695790892889905,0.9250996980646693,accuracy,0.3023275331505623
"Primary: all valid, common emotions",AI-non-white,0.887094532149784,0.8642848812110535,0.9063753332956227,accuracy,0.3023275331505623
"Primary: all valid, common emotions",AI-diverse,0.8911868685900908,0.8709313743955954,0.9068564921013335,accuracy,0.3023275331505623
"Primary: all valid, common emotions",AI-diverse equal-ethnicity,0.889801752625313,0.8685099015921953,0.906013106538208,accuracy,0.3023275331505623
Complete 80-trial participants,FACES,0.8176801358814634,0.7802061141359135,0.8495263255493335,accuracy,0.30248204896251485
Complete 80-trial participants,AI-white,0.9006897926066332,0.8676800435707095,0.924228040502034,accuracy,0.30248204896251485
Complete 80-trial participants,AI-non-white,0.8879922193781421,0.8650802043400755,0.9065745605996756,accuracy,0.30248204896251485
Complete 80-trial participants,AI-diverse,0.8918330073451477,0.8723310258492167,0.9069394374026684,accuracy,0.30248204896251485
Complete 80-trial participants,AI-diverse equal-ethnicity,0.8905317340238403,0.8701027842135268,0.906038494455462,accuracy,0.30248204896251485
Exclude high-ceiling happy trials,FACES,0.7724687710652536,0.7242797893975655,0.8135521818182745,accuracy,0.3029846246608381
Exclude high-ceiling happy trials,AI-white,0.8840798534395378,0.8399926492977041,0.9140517294514806,accuracy,0.3029846246608381
Exclude high-ceiling happy trials,AI-non-white,0.871363025681349,0.8409647617677628,0.89459165067345,accuracy,0.3029846246608381
Exclude high-ceiling happy trials,AI-diverse,0.8752160289665405,0.8495189310144983,0.8944074271925575,accuracy,0.3029846246608381
Exclude high-ceiling happy trials,AI-diverse equal-ethnicity,0.8739063912329869,0.8472554078005795,0.893562180214986,accuracy,0.3029846246608381
Primary: correct RT 0.20-30 sec,FACES,2.637250910495472,2.56124410419714,2.718400837712146,rt,0.305834879104429
Primary: correct RT 0.20-30 sec,AI-white,2.2679704441890256,2.1827819545517593,2.3544239877913906,rt,0.305834879104429
Primary: correct RT 0.20-30 sec,AI-non-white,2.298683363213619,2.2340578687138772,2.36695787424234,rt,0.305834879104429
Primary: correct RT 0.20-30 sec,AI-diverse,2.289290281336789,2.231342735902189,2.34885156173278,rt,0.305834879104429
Primary: correct RT 0.20-30 sec,AI-diverse equal-ethnicity,2.292540779408701,2.2338287615255146,2.3522400386944207,rt,0.305834879104429
Complete 80-trial participants,FACES,2.6342455901503294,2.5538541156305863,2.717116320267192,rt,0.3059252686581879
Complete 80-trial participants,AI-white,2.2638495931659235,2.177727264480149,2.3488691887277238,rt,0.3059252686581879
Complete 80-trial participants,AI-non-white,2.296007877270779,2.231039894648019,2.3590234143878384,rt,0.3059252686581879
Complete 80-trial participants,AI-diverse,2.286169845566415,2.229023221321281,2.3404827130279755,rt,0.3059252686581879
Complete 80-trial participants,AI-diverse equal-ethnicity,2.289576220449808,2.231277296380387,2.3457061344084695,rt,0.3059252686581879
Correct RT 0.30-10 sec,FACES,2.542360035460453,2.472101851229575,2.6123409293625883,rt,0.3062481374788914
Correct RT 0.30-10 sec,AI-white,2.2052674598956643,2.1316639213355955,2.2808701608540316,rt,0.3062481374788914
Correct RT 0.30-10 sec,AI-non-white,2.2265523238127267,2.1738849716293,2.2811255291225487,rt,0.3062481374788914
Correct RT 0.30-10 sec,AI-diverse,2.2200338738816345,2.172608221029918,2.2681613814026034,rt,0.3062481374788914
Correct RT 0.30-10 sec,AI-diverse equal-ethnicity,2.2222953510293144,2.1744588747528644,2.270712248841278,rt,0.3062481374788914
All positive correct RT,FACES,2.675740812844079,2.5938360646085536,2.765001366796939,rt,0.30599747270194083
All positive correct RT,AI-white,2.3024898171983343,2.210603302509368,2.3903324302317546,rt,0.30599747270194083
All positive correct RT,AI-non-white,2.3276131966264892,2.2617475600026142,2.3911760029597953,rt,0.30599747270194083
All positive correct RT,AI-diverse,2.3199255060157418,2.2610814461113002,2.375855909612939,rt,0.30599747270194083
All positive correct RT,AI-diverse equal-ethnicity,2.322588520740858,2.262252865728934,2.3797594892912204,rt,0.30599747270194083
