source,trial_stratum,target_emotion,face_gender,face_ethnicity,n_trials_raw,n_trials_accuracy,n_trials_rt,n_participants
AI,AI-non-white,anger,man,asian,526,526,493,457
AI,AI-non-white,anger,man,black,524,524,500,455
AI,AI-non-white,anger,man,indian,508,508,471,446
AI,AI-non-white,anger,man,latin,501,501,463,443
AI,AI-non-white,anger,woman,asian,531,531,440,468
AI,AI-non-white,anger,woman,black,504,504,406,442
AI,AI-non-white,anger,woman,indian,542,542,422,474
AI,AI-non-white,anger,woman,latin,535,535,495,461
AI,AI-non-white,disgust,man,asian,519,519,482,460
AI,AI-non-white,disgust,man,black,512,512,276,449
AI,AI-non-white,disgust,man,indian,519,519,382,454
AI,AI-non-white,disgust,man,latin,490,490,355,435
AI,AI-non-white,disgust,woman,asian,539,539,404,466
AI,AI-non-white,disgust,woman,black,531,531,351,467
AI,AI-non-white,disgust,woman,indian,516,516,367,452
AI,AI-non-white,disgust,woman,latin,514,514,294,443
AI,AI-non-white,fear,man,asian,497,497,388,429
AI,AI-non-white,fear,man,black,520,520,422,454
AI,AI-non-white,fear,man,indian,527,527,411,460
AI,AI-non-white,fear,man,latin,495,495,366,427
AI,AI-non-white,fear,woman,asian,522,522,324,460
AI,AI-non-white,fear,woman,black,544,544,409,471
AI,AI-non-white,fear,woman,indian,473,473,365,411
AI,AI-non-white,fear,woman,latin,544,544,397,467
AI,AI-non-white,happy,man,asian,547,547,531,463
AI,AI-non-white,happy,man,black,521,521,511,468
AI,AI-non-white,happy,man,indian,526,526,521,451
AI,AI-non-white,happy,man,latin,511,511,506,433
AI,AI-non-white,happy,woman,asian,503,503,459,435
AI,AI-non-white,happy,woman,black,478,478,467,422
AI,AI-non-white,happy,woman,indian,527,527,519,462
AI,AI-non-white,happy,woman,latin,518,518,509,459
AI,AI-non-white,neutral,man,asian,490,490,431,421
AI,AI-non-white,neutral,man,black,528,528,416,456
AI,AI-non-white,neutral,man,indian,501,501,491,438
AI,AI-non-white,neutral,man,latin,515,515,391,448
AI,AI-non-white,neutral,woman,asian,526,526,470,456
AI,AI-non-white,neutral,woman,black,523,523,420,451
AI,AI-non-white,neutral,woman,indian,512,512,486,450
AI,AI-non-white,neutral,woman,latin,528,528,467,464
AI,AI-non-white,sad,man,asian,539,539,516,469
AI,AI-non-white,sad,man,black,554,554,533,474
AI,AI-non-white,sad,man,indian,509,509,481,447
AI,AI-non-white,sad,man,latin,491,491,474,426
AI,AI-non-white,sad,woman,asian,572,572,545,493
AI,AI-non-white,sad,woman,black,533,533,498,462
AI,AI-non-white,sad,woman,indian,544,544,517,461
AI,AI-non-white,sad,woman,latin,510,510,489,435
AI,AI-non-white,surprise,man,asian,525,525,513,452
AI,AI-non-white,surprise,man,black,525,525,502,453
AI,AI-non-white,surprise,man,indian,495,495,472,436
AI,AI-non-white,surprise,man,latin,524,524,504,457
AI,AI-non-white,surprise,woman,asian,489,489,473,426
AI,AI-non-white,surprise,woman,black,537,537,511,475
AI,AI-non-white,surprise,woman,indian,528,528,483,453
AI,AI-non-white,surprise,woman,latin,509,509,477,444
AI,AI-white,anger,man,white,1096,1096,990,714
AI,AI-white,anger,woman,white,812,812,722,615
AI,AI-white,disgust,man,white,996,996,692,686
AI,AI-white,disgust,woman,white,708,708,609,551
AI,AI-white,fear,man,white,1034,1034,833,720
AI,AI-white,fear,woman,white,763,763,499,597
AI,AI-white,happy,man,white,993,993,978,673
AI,AI-white,happy,woman,white,769,769,753,601
AI,AI-white,neutral,man,white,1064,1064,978,724
AI,AI-white,neutral,woman,white,765,765,613,592
AI,AI-white,sad,man,white,1061,1061,1016,727
AI,AI-white,sad,woman,white,746,746,715,569
AI,AI-white,surprise,man,white,1041,1041,988,696
AI,AI-white,surprise,woman,white,795,795,762,589
FACES,FACES,anger,man,white,3410,3410,2873,1018
FACES,FACES,anger,woman,white,3363,3363,2259,1020
FACES,FACES,disgust,man,white,3432,3432,2972,1030
FACES,FACES,disgust,woman,white,3482,3482,2842,1019
FACES,FACES,fear,man,white,3523,3523,1356,1021
FACES,FACES,fear,woman,white,3552,3552,1809,1022
FACES,FACES,happy,man,white,3513,3513,3460,1027
FACES,FACES,happy,woman,white,3478,3478,3374,1019
FACES,FACES,neutral,man,white,3472,3472,3258,1026
FACES,FACES,neutral,woman,white,3432,3432,2843,1022
FACES,FACES,sad,man,white,3427,3427,2588,1022
FACES,FACES,sad,woman,white,3408,3408,1804,1021
