contrast_family,trial_stratum,participant_group,estimate,conf_low,conf_high,p_value,model_type,p_fdr
Participant non-white minus white,FACES,Stimulus stratum fixed,-0.012000458075614229,-0.027450190268146345,0.0024325021662086966,0.10294852573713144,accuracy,0.18590704647676162
Participant non-white minus white,AI-white,Stimulus stratum fixed,-0.010910704327859344,-0.026337048336774287,0.0030608588095953106,0.12393803098450774,accuracy,0.18590704647676162
Participant non-white minus white,AI-non-white,Stimulus stratum fixed,-0.0021921050083724136,-0.014486067471911904,0.009177234430154332,0.671664167916042,accuracy,0.671664167916042
Same minus different broad-status AI stimulus,AI-white versus AI-non-white,White,0.016276944367286328,-0.01822936466187584,0.049494618502090165,0.3278360819590205,accuracy,0.4917541229385307
Same minus different broad-status AI stimulus,AI-white versus AI-non-white,Non-white,-0.007558345047799397,-0.04258321682675298,0.03094539277693979,0.6806596701649176,accuracy,0.6806596701649176
Same minus different broad-status AI stimulus,AI-white versus AI-non-white,White/non-white equally pooled,0.004359299659743465,-0.003020146227963211,0.012148699343156107,0.23388305847076463,accuracy,0.4917541229385307
Participant non-white minus white,FACES,Stimulus stratum fixed,0.0236442598963853,-0.06048125068047284,0.11962016730840903,0.5387306346826587,rt,0.5747126436781609
Participant non-white minus white,AI-white,Stimulus stratum fixed,0.0200550558372683,-0.06082303523684657,0.11274965292258987,0.5747126436781609,rt,0.5747126436781609
Participant non-white minus white,AI-non-white,Stimulus stratum fixed,0.033096707648496704,-0.03743437379683372,0.11721246573562298,0.3708145927036482,rt,0.5747126436781609
Same minus different broad-status AI stimulus,AI-white versus AI-non-white,White,-0.026584018688026845,-0.12442942294126823,0.0736713239122005,0.6176911544227887,rt,0.6216891554222889
Same minus different broad-status AI stimulus,AI-white versus AI-non-white,Non-white,0.03962567049925525,-0.06429097409319316,0.13912698431492007,0.4817591204397801,rt,0.6216891554222889
Same minus different broad-status AI stimulus,AI-white versus AI-non-white,White/non-white equally pooled,0.006520825905614203,-0.019824517568933508,0.03373356551305562,0.6216891554222889,rt,0.6216891554222889
