model,participant_n,trial_n,effect,term,estimate,std.error,statistic,conf.low,conf.high,p.value,p_method
white_status_moderation_rt_model,999,59674,fixed,(Intercept),1.0186621779175369,0.026424535602292257,38.5498611309245,0.9668710398288476,1.0704533160062262,0,large-sample normal approximation
white_status_moderation_rt_model,999,59674,fixed,trial_stratumAI-white,-0.1516888782294476,0.022476267183567787,-6.748846549588363,-0.19574155241613997,-0.10763620404275523,1.4902509437396912e-11,large-sample normal approximation
white_status_moderation_rt_model,999,59674,fixed,trial_stratumAI-non-white,-0.13996786921362744,0.0179763115834554,-7.786239605595603,-0.1752007924920702,-0.10473494593518468,6.903297853203763e-15,large-sample normal approximation
white_status_moderation_rt_model,999,59674,fixed,participant_white_statusNon-white,0.008969967288048799,0.017416261266801087,0.5150340334608651,-0.02516527754022126,0.04310521211631886,0.6065292379430334,large-sample normal approximation
white_status_moderation_rt_model,999,59674,fixed,target_emotiondisgust,0.04723623110279828,0.02734777981961964,1.7272418973078911,-0.006364432400787497,0.10083689460638406,0.08412422921826981,large-sample normal approximation
white_status_moderation_rt_model,999,59674,fixed,target_emotionfear,0.19742164382535363,0.027403890687531626,7.2041465234415645,0.14371100504151907,0.2511322826091882,5.840853199157995e-13,large-sample normal approximation
white_status_moderation_rt_model,999,59674,fixed,target_emotionhappy,-0.32522261999270574,0.027207046477812906,-11.953617246102835,-0.37854745121492633,-0.27189778877048515,6.215959688194765e-33,large-sample normal approximation
white_status_moderation_rt_model,999,59674,fixed,target_emotionneutral,-0.16083172727474632,0.02725285758429516,-5.901462875123519,-0.21424634661576408,-0.10741710793372855,3.602925050456214e-9,large-sample normal approximation
white_status_moderation_rt_model,999,59674,fixed,target_emotionsad,-0.07115878304548724,0.027269307329106998,-2.6094826020583604,-0.12460564329389108,-0.017711922797083404,0.009067925696044641,large-sample normal approximation
white_status_moderation_rt_model,999,59674,fixed,trial_position_z,-0.08246770495357422,0.001804710986770972,-45.69579592415915,-0.08600487349014907,-0.07893053641699938,0,large-sample normal approximation
white_status_moderation_rt_model,999,59674,fixed,task_positionPosition 2,-0.004178631156198935,0.019342011474680065,-0.21603912093987906,-0.042088277035132314,0.03373101472273444,0.8289572534322539,large-sample normal approximation
white_status_moderation_rt_model,999,59674,fixed,task_positionPosition 3,-0.039409386175683896,0.01991227450064639,-1.9791504066702472,-0.0784367270472261,-3.820453041416885e-4,0.04779907465767908,large-sample normal approximation
white_status_moderation_rt_model,999,59674,fixed,task_positionPosition 4,-0.08216853661336453,0.04939723961495211,-1.6634236498610506,-0.17898534719436585,0.014648273967636793,0.09622766231629552,large-sample normal approximation
white_status_moderation_rt_model,999,59674,fixed,trial_stratumAI-white:participant_white_statusNon-white,-1.1490457381952356e-4,0.011396270045459279,-0.010082647511964325,-0.02245118342101235,0.022221374273373305,0.9919553475213518,large-sample normal approximation
white_status_moderation_rt_model,999,59674,fixed,trial_stratumAI-non-white:participant_white_statusNon-white,0.005433104332100866,0.008569090201098832,0.6340351431245488,-0.011362003842327929,0.02222821250652966,0.5260578874714814,large-sample normal approximation
